# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
светочувствительность,фоточувствительность	"SENSITIVITY TO THE ACTION OF RADIANT ENERGY"	photosensitivity(icl>sensitivity>thing)
фотогальванический,фотоэлектрический	"PRODUCING A VOLTAGE WHEN EXPOSED TO RADIANT ENERGY (ESPECIALLY LIGHT)"	photovoltaic(icl>adj,com>voltage)
физиатрия,физиотерапия,физиотерапия 	"THERAPY THAT USES PHYSICAL AGENTS: EXERCISE AND MASSAGE AND OTHER MODALITIES"	physiatrics(icl>therapy>thing,equ>physical_therapy)+physiotherapy(icl>therapy>thing,equ>physical_therapy)
телесный,физический	"INVOLVING THE BODY AS DISTINGUISHED FROM THE MIND OR SPIRIT"	physical(icl>adj,ant>mental)
придираться,цепляться	"HARASS WITH CONSTANT CRITICISM"	pick(icl>knock>do,equ>blame,agt>thing)
знакомиться,кадрить,подцеплять	"MEET SOMEONE FOR SEXUAL PURPOSES"	pick_up(icl>meet>do,agt>thing,obj>thing)
пикули,соленье	"VEGETABLES (ESPECIALLY CUCUMBERS) PRESERVED IN BRINE OR VINEGAR"	pickle(icl>relish>thing)
изобразительный,иллюстрированный,рисуночный	"PERTAINING TO OR CONSISTING OF PICTURES"	pictorial(icl>adj,com>picture)
живой,красочный,яркий	"EVOKING LIFELIKE IMAGES WITHIN THE MIND"	pictorial(icl>adj,equ>graphic)+vivid(icl>adj,equ>graphic)
иллюстрация,картинка	"ILLUSTRATIONS USED TO DECORATE OR EXPLAIN A TEXT"	picture(icl>illustration>thing)
картина,сцена	"A SITUATION TREATED AS AN OBSERVABLE OBJECT"	picture(icl>situation>thing)+scene(icl>situation>thing,equ>picture)
воплощение,олицетворение,пример	"A TYPICAL EXAMPLE OF SOME STATE OR QUALITY"	picture(icl>typification>thing)
видео,изображение,картинка	"THE VISIBLE PART OF A TELEVISION TRANSMISSION"	picture(icl>visual_communication>thing,equ>video)+video(icl>visual_communication>thing)
кусок,ломтик	"A SERVING THAT HAS BEEN CUT FROM A LARGER PORTION"	piece(icl>helping>thing)+slice(icl>helping>thing,equ>piece)
произведение,работа	"A WORK OF ART OF SOME ARTISTIC VALUE"	piece(icl>work_of_art>thing,equ>objet_d'art)
благочестивость,благочестие	"RIGHTEOUSNESS BY VIRTUE OF BEING PIOUS"	piety(icl>righteousness>thing,ant>impiety)+piousness(icl>righteousness>thing,equ>piety,ant>impiety)
неряха,разгильдяй,свинтус,свинья	"A COARSE OBNOXIOUS PERSON"	pig(icl>vulgarian>thing,equ>slob)+slob(icl>vulgarian>thing)+sloven(icl>vulgarian>thing,equ>slob)
поросенок,поросёнок,свинка	"A YOUNG PIG"	piggy(icl>young_mammal>thing,equ>piglet)+piglet(icl>young_mammal>thing)
кол,свая	"A COLUMN OF WOOD OR STEEL OR CONCRETE THAT IS DRIVEN INTO THE GROUND TO PROVIDE SUPPORT FOR A STRUCTURE"	pile(icl>column>thing)+spile(icl>column>thing,equ>pile)+stilt(icl>column>thing,equ>pile)
наваливать,сваливать	"PLACE OR LAY AS IF IN A PILE"	pile(icl>load>do,cob>uw,agt>thing,obj>thing)
паломник,пилигрим	"SOMEONE WHO JOURNEYS TO A SACRED PLACE AS AN ACT OF RELIGIOUS DEVOTION"	pilgrim(icl>believer>thing)
булавка,шпилька	"A SMALL SLENDER (OFTEN POINTED) PIECE OF WOOD OR METAL USED TO SUPPORT OR FASTEN OR ATTACH THINGS"	pin(icl>fastener>thing)
брошка,брошь	"A PIECE OF JEWELRY THAT IS PINNED ONTO THE WEARER'S GARMENT"	pin(icl>jewelry>thing)
пин,пин-код	"A NUMBER YOU CHOOSE AND USE TO GAIN ACCESS TO VARIOUS ACCOUNTS"	pin(icl>number>thing,equ>personal_identification_number)
малая шестерня,малое зубчатое колесо,шестерня	"A GEAR WITH A SMALL NUMBER OF TEETH DESIGNED TO MESH WITH A LARGER WHEEL OR RACK"	pinion(icl>gear>thing)
розоватый,розовый	"OF A LIGHT SHADE OF RED"	pink(icl>adj)+pinkish(icl>adj,equ>pink)
перистый,перообразный	"OF A LEAF SHAPE"	pinnate(icl>adj)
первопроходец,пионер	"ONE THE FIRST COLONISTS OR SETTLER IN A NEW TERRITORY"	pioneer(icl>settler>thing)
первопроходка,пионерка	"ONE OF FEMALE FIRST COLONISTS OR SETTLER IN A NEW TERRITORY"	pioneer(icl>settler>thing,mod>female)
первопроходец,пионер	"ONE OF MALE FIRST COLONISTS OR SETTLER IN A NEW TERRITORY"	pioneer(icl>settler>thing,mod>male)
труба,трубопровод	"A LONG TUBE MADE OF METAL OR PLASTIC THAT IS USED TO CARRY WATER OR OIL OR GAS ETC."	pipage(icl>tube>thing,equ>pipe)+pipe(icl>tube>thing)+piping(icl>tube>thing,equ>pipe)
труба,трубка	"A HOLLOW CYLINDRICAL SHAPE"	pipe(icl>cylinder>thing)+tube(icl>cylinder>thing,equ>pipe)
плунжер,поршень	"MECHANICAL DEVICE THAT HAS A PLUNGING OR THRUSTING MOTION"	piston(icl>mechanical_device>thing)+plunger(icl>mechanical_device>thing,equ>piston)
оркестровая яма,яма	"LOWERED AREA IN FRONT OF A STAGE WHERE AN ORCHESTRA ACCOMPANIES THE PERFORMERS"	pit(icl>area>thing,equ>orchestra_pit)
ловчая яма,яма	"A TRAP IN THE FORM OF A CONCEALED HOLE"	pit(icl>trap>thing)+pitfall(icl>trap>thing,equ>pit)
смола,смоль	"ANY OF VARIOUS DARK HEAVY VISCID SUBSTANCES OBTAINED AS A RESIDUE"	pitch(icl>bitumen>thing)+tar(icl>bitumen>thing,equ>pitch)
высота звука,высота тона,тон	"THE PROPERTY OF SOUND THAT VARIES WITH VARIATION IN THE FREQUENCY OF VIBRATION"	pitch(icl>sound_property>thing)
уранинит,уранит	"A MINERAL CONSISTING OF URANIUM OXIDE AND TRACE AMOUNTS OF RADIUM AND THORIUM AND POLONIUM AND LEAD AND HELIUM"	pitchblende(icl>uranium_ore>thing,equ>uraninite)+uraninite(icl>uranium_ore>thing)
просмоленный,смоленый,смолистый	"HAVING THE CHARACTERISTICS OF PITCH OR TAR"	pitchy(icl>adj)+resinous(icl>adj,equ>pitchy)+tarry(icl>adj,equ>pitchy)
место,позиция	"AN ITEM ON A LIST OR IN A SEQUENCE"	place(icl>item>thing)+position(icl>item>thing,equ>place)
доверенное лицо,представитель	"A PERSON AUTHORIZED TO ACT FOR ANOTHER"	placeholder(icl>agent>person,equ>proxy)+procurator(icl>agent>thing,equ>proxy)+proxy(icl>agent>thing)
безмятежный,неподвижный,спокойный,тихий	"(OF A BODY OF WATER) FREE FROM DISTURBANCE BY HEAVY WAVES"	placid(icl>adj)+quiet(icl>adj,equ>placid)+smooth(icl>adj,equ>placid)+still(icl>adj,equ>tranquil)+tranquil(icl>adj,equ>placid)+unruffled(icl>adj,equ>placid)
безмятежность,покой,спокойствие	"A DISPOSITION FREE FROM STRESS OR EMOTION"	placidity(icl>composure>thing,equ>repose)+repose(icl>composure>thing)+serenity(icl>composure>thing,equ>repose)+tranquillity(icl>composure>thing,equ>repose)
тартан,шотландка	"A CLOTH HAVING A CRISSCROSS DESIGN"	plaid(icl>fabric>thing,equ>tartan)+tartan(icl>fabric>thing)
неузорчатый,однотонный	"LACKING PATTERNS ESPECIALLY IN COLOR"	plain(icl>adj,ant>patterned)+unpatterned(icl>adj,equ>plain,ant>patterned)
невзрачный,некрасивый	"LACKING IN PHYSICAL BEAUTY OR PROPORTION"	plain(icl>adj,equ>homely)
гофрировка,платировка,складка	"ANY OF VARIOUS TYPES OF FOLD FORMED BY DOUBLING FABRIC BACK UPON ITSELF AND THEN PRESSING OR STITCHING INTO SHAPE"	plait(icl>fold>thing,equ>pleat)+pleat(icl>fold>thing)
планировать,собираться	"HAVE THE WILL AND INTENTION TO DO SOMETHING"	plan(icl>intend>be,tim>uw,obj>uw,aoj>thing)
двумерный,двухмерный,планарный	"INVOLVING TWO DIMENSIONS"	planar(icl>adj,ant>cubic)+two-dimensional(icl>adj,equ>planar,ant>cubic)
строгальный станок,электрорубанок	"A POWER TOOL FOR SMOOTHING OR SHAPING WOOD"	plane(icl>power_tool>thing)+planer(icl>power_tool>thing,equ>plane)
планетарный,планетный	"OF OR RELATING TO OR RESEMBLING THE PHYSICAL OR ORBITAL CHARACTERISTICS OF A PLANET OR THE PLANETS"	planetary(icl>adj,equ>planetal,com>planet)
гулкость,звонкость,звучность,протяжность,резонанс,трезвон	"HAVING THE CHARACTER OF A LOUD DEEP SOUND"	plangency(icl>timbre>thing)+resonance(icl>timbre>thing,equ>plangency)+ringing(icl>timbre>thing,equ>plangency)+sonority(icl>timbre>thing,equ>plangency)+sonorousness(icl>timbre>thing,equ>plangency)+vibrancy(icl>timbre>thing,equ>plangency)
планирование,проектирование	"THE ACT OR PROCESS OF DRAWING UP PLANS OR LAYOUTS FOR SOME PROJECT OR ENTERPRISE"	planning(icl>design>thing)
планирование,планирование на случай,предусматривание,приготовление	"THE COGNITIVE PROCESS OF THINKING ABOUT WHAT YOU WILL DO IN THE EVENT OF SOMETHING HAPPENING"	planning(icl>thinking>thing)+preparation(icl>thinking>thing,equ>planning)+provision(icl>information>abstract_thing,pur>uw)
колония,плантация	"A NEWLY ESTABLISHED COLONY (ESPECIALLY IN THE COLONIZATION OF NORTH AMERICA)"	plantation(icl>colony>thing)
обрызгивать,разбрызгивать	"DASH A LIQUID UPON OR AGAINST"	plash(icl>scatter>do,equ>spatter,agt>thing,obj>thing)+spatter(icl>scatter>do,cob>liquid,agt>thing,obj>concrete_thing)+splash(icl>scatter>do,equ>spatter,agt>thing,obj>thing)+splatter(icl>scatter>do,equ>spatter,cob>matter,agt>thing,obj>concrete_thing)+swash(icl>scatter>do,equ>spatter,agt>thing,obj>thing)
брюшной щит,нижний щит	"(ZOOLOGY) THE PART OF A TURTLE'S SHELL FORMING ITS UNDERSIDE"	plastron(icl>exoskeleton>thing)
манишка,пластрон	"THE FRONT OF MAN'S DRESS SHIRT"	plastron(icl>shirtfront>thing)
металлизировать,покрывать слоем	"COAT WITH A LAYER OF METAL"	plate(icl>coat>do,cob>thing,agt>thing,obj>concrete_thing)
литосферная плита,плита	"A RIGID LAYER OF THE EARTH'S CRUST THAT IS BELIEVED TO DRIFT SLOWLY"	plate(icl>crust>thing)
панцирь,щит	"A METAL SHEATHING OF UNIFORM THICKNESS","A METAL SHEATHING OF UNIFORM THICKNESS (SUCH AS THE SHIELD ATTACHED TO AN ARTILLERY PIECE TO PROTECT THE GUNNERS)"	plate(icl>shield>thing)+scale(icl>shield>thing,equ>plate)+shell(icl>shield>concrete_thing,equ>plate)
пластина,пластинка	"ANY FLAT PLATELIKE BODY STRUCTURE OR PART"	plate(icl>structure>thing)
перрон,платформа	""	platform(icl>place>thing)
вести себя,поступать	"TO BEHAVE IN A SPECIFIC MANNER"	play(icl>behave>do,agt>thing,obj>thing,man>uw)
представление,спектакль	"A THEATRICAL PERFORMANCE OF A DRAMA"	play(icl>event,equ>performance,obj>uw)
иметь люфт,люфтить,шататься	"TO MOVE WITHIN LIMITS"	play(icl>move>be,aoj>concrete_thing,plc>thing)
воспроизводить,проигрывать	"REPRODUCE (A RECORDING) ON A RECORDER","REPRODUCE ON A RECORDER"	play_back(icl>reproduce>do,agt>thing,obj>thing)+replay(icl>reproduce>do,equ>play_back,agt>thing,obj>thing)
воспроизведение,проигрывание	"THE ACT OF REPRODUCING RECORDED SOUND"	playback(icl>sound_reproduction>thing)
просить,упрашивать	"APPEAL OR REQUEST EARNESTLY"	plead(icl>ask>do,agt>person,pur>uw,rec>volitional_thing)
заявлять,утверждать	"MAKE AN ALLEGATION IN AN ACTION OR OTHER LEGAL PROCEEDING, ESPECIALLY ANSWER THE PREVIOUS PLEADING OF THE OTHER PARTY BY DENYING FACTS THEREIN STATED OR BY ALLEGING NEW FACTS"	plead(icl>defend>do,agt>person,obj>thing)
приводить в оправдание,ссылаться	"OFFER AS AN EXCUSE"	plead(icl>justify>do,cob>thing,agt>volitional_thing,obj>thing)
аппетитность,вкусность	"PLEASANT PALATABILITY"	pleasingness(icl>palatability>thing)+tastiness(icl>palatability>thing,equ>pleasingness)
плебейский,простой	"OF OR ASSOCIATED WITH THE GREAT MASSES OF PEOPLE"	plebeian(icl>adj,equ>common)+unwashed(icl>adj,equ>common)
изобилие,полнота	"A FULL SUPPLY"	plenitude(icl>abundance>thing,equ>plenty)+plentifulness(icl>abundance>thing,equ>plenty)+plenty(icl>abundance>thing)
плеонастический,тавтологический	"REPETITION OF SAME SENSE IN DIFFERENT WORDS"	pleonastic(icl>adj)+redundant(icl>adj,equ>pleonastic)+tautological(icl>adj,equ>pleonastic)
пликация,сборивание	"FOLDING IN PARALLEL FOLDS"	plication(icl>fold>thing)
положение,трудное положение	"A SITUATION FROM WHICH EXTRICATION IS DIFFICULT ESPECIALLY AN UNPLEASANT OR TRYING ONE"	plight(icl>difficulty>thing,equ>predicament)+predicament(icl>difficulty>thing)+quandary(icl>difficulty>thing,equ>predicament)
копуша,тормоз	"SOMEONE WHO MOVES SLOWLY"	plodder(icl>dawdler>thing)+slowcoach(icl>dawdler>thing,equ>plodder)+slowpoke(icl>dawdler>thing,equ>plodder)
горячий,пылкий	"SHOWING COURAGE"	plucky(icl>adj,equ>feisty)+spunky(icl>adj,equ>feisty)
затычка,пробка	"BLOCKAGE CONSISTING OF AN OBJECT DESIGNED TO FILL A HOLE TIGHTLY"	plug(icl>blockage>thing)+stopper(icl>blockage>thing,equ>plug)+stopple(icl>blockage>thing,equ>plug)
закупоривать,затыкать	"FILL OR CLOSE TIGHTLY WITH OR AS IF WITH A PLUG"	plug(icl>close>do,agt>thing,obj>thing)+secure(icl>close>do,equ>plug,agt>thing,obj>thing)+stop_up(icl>close>do,equ>plug,cob>thing,agt>thing,obj>concrete_thing)
бить,ударять	"DELIVER A QUICK BLOW TO","TO HIT SOMEONE OR SOMETHING HARD WITH YOUR FIST"	plug(icl>hit>do,agt>person,obj>thing)+punch(icl>hit>do,agt>living_thing,obj>concrete_thing,ins>thing,opl>thing)
разворовывать,разграбить,разграблять	"PLUNDER (A TOWN) AFTER CAPTURE","THE BARBARIANS (AGT) SACKED ROME (OBJ)"	plunder(icl>take>do,equ>sack,agt>thing,obj>thing)+sack(icl>plunder>do,agt>person,obj>place)
давнопрошедшее время,плюсквамперфект	"A PERFECTIVE TENSE USED TO EXPRESS ACTION COMPLETED IN THE PAST"	pluperfect(icl>perfective>thing,equ>past_perfect)
премьер,премьер-министр	"THE PERSON WHO HOLDS THE POSITION OF HEAD OF THE GOVERNMENT IN ENGLAND"	pm(icl>head_of_state>thing,equ>prime_minister)+premier(icl>head_of_state>thing,equ>prime_minister)
легочный,пневмонический	"RELATING TO OR AFFECTING THE LUNGS"	pneumonic(icl>adj,com>lung)+pulmonary(icl>adj,equ>pneumonic,com>lung)
карман,мешок	"AN ENCLOSED SPACE"	pocket(icl>cavity>thing,equ>pouch)+pouch(icl>cavity>thing)+sac(icl>cavity>thing,equ>pouch)+sack(icl>cavity>thing,equ>pouch)
приземистый,пузатый,пухлый	"SHORT AND PLUMP"	podgy(icl>adj,equ>dumpy)+pudgy(icl>adj,equ>dumpy)+roly-poly(icl>adj,equ>dumpy)+tubby(icl>adj,equ>dumpy)
поэзия,стихи	"LITERATURE IN METRICAL FORM"	poesy(icl>writing_style>thing,equ>poetry)+poetry(icl>writing_style>thing)+verse(icl>writing_style>thing,equ>poetry)
поэтический,стихотворный	"OF OR RELATING TO POETRY"	poetic(icl>adj,com>poetry)
поэтизировать,рифмовать	"COMPOSE VERSES OR PUT INTO VERSE"	poetize(icl>write>do,equ>verse,agt>volitional_thing,obj>thing)+versify(icl>write>do,equ>verse,agt>volitional_thing,obj>thing)
жалостный,трогательный	"AROUSING AFFECT"	poignant(icl>adj,equ>affecting)+touching(icl>adj,equ>affecting)
соль,суть	"A BRIEF VERSION OF THE ESSENTIAL MEANING OF SOMETHING"	point(icl>meaning>thing)
заострять,сводить на конус,сужать	"GIVE A POINT TO","SHARPEN AND GIVE A POINT TO"	point(icl>sharpen>do,agt>person,obj>thing)+sharpen(icl>change_shape>do,agt>thing,obj>thing)+taper(icl>change_shape>do,equ>sharpen,agt>thing,obj>concrete_thing)
колотить,молотить	"HIT HARD WITH THE HAND, FIST, OR SOME HEAVY INSTRUMENT"	poke(icl>hit>do,equ>thump,agt>thing,obj>thing)+pound(icl>hit>do,equ>thump,agt>thing,obj>thing)+thump(icl>hit>do,agt>thing,obj>concrete_thing,ins>thing,opl>thing)
политик,политикан	"A PERSON ACTIVE IN PARTY POLITICS"	pol(icl>leader>thing,equ>politician)+politician(icl>leader>thing)+politico(icl>leader>thing,equ>politician)
знак,полярность	"BELONGING TO AN INDICATED POLE (POSITIVE AND NEGATIVE)","HAVING AN INDICATED POLE  (AS THE DISTINCTION BETWEEN POSITIVE AND NEGATIVE ELECTRIC CHARGES)"	polarity(icl>opposition>thing)+sign(icl>opposition>thing,equ>polarity)
полароид,поляроид	"(TRADE MARK) A PLASTIC FILM THAT CAN POLARIZE A BEAM OF LIGHT"	polaroid(icl>film>thing)
жердь,шест	"A LONG (USUALLY ROUND) ROD OF WOOD OR METAL OR PLASTIC"	pole(icl>rod>thing)
хорь,хорёк	"A MALE DARK BROWN MUSTELID OF WOODLANDS OF EURASIA THAT GIVES OFF AN UNPLEASANT ODOR WHEN THREATENED"	polecat(icl>musteline_mammal>thing,mod>male)
полировальный состав,полироль	"A PREPARATION USED IN POLISHING"	polish(icl>formulation>thing)
обходительный,учтивый	"SHOWING REGARD FOR OTHERS IN MANNERS, SPEECH, BEHAVIOR, ETC."	polite(icl>adj,ant>impolite)
многогранник,полиэдр	"A SOLID FIGURE BOUNDED BY PLANE POLYGONS OR FACES"	polyhedron(icl>solid>thing)
многозначный,полисемантический	"OF WORDS"	polysemantic(icl>adj,equ>polysemous)+polysemous(icl>adj)
многофункциональность,универсальность	"(TOXICOLOGY) THE STATE OF BEING CAPABLE OF COUNTERACTING MORE THAN ONE TOXIN OR ANTIGEN OR KIND OF MICROORGANISM"	polyvalence(icl>state>thing)
озерцо,пруд	"A SMALL LAKE"	pond(icl>lake>thing)+pool(icl>lake>thing,equ>pond)
Папа,Папа римский,понтифик,римский первосвященник	"THE HEAD OF THE ROMAN CATHOLIC CHURCH"	pontiff(icl>spiritual_leader>thing,equ>pope)+pope(icl>spiritual_leader>thing)
общий котел,пул	"ANY COMMUNAL COMBINATION OF FUNDS"	pool(icl>reserve_account>thing)
пул,пулька	"ANY OF VARIOUS GAMES PLAYED ON A POOL TABLE HAVING 6 POCKETS"	pool(icl>table_game>thing)
дурак,олух	"A MALE STUPID FOOLISH PERSON"	poop(icl>simpleton>thing,equ>nincompoop,mod>male)
плохой,скверный,худой	"UNSATISFACTORY"	poor(icl>adj,asp>thing)
бедняк,беднячка	"rus:человек, не обладающий богатством"	poor_man(icl>man>person)
газировка,содовая,тоник	"A SWEET DRINK CONTAINING CARBONATED WATER AND FLAVORING"	pop(icl>soft_drink>thing)+soda(icl>soft_drink>thing,equ>pop)+tonic(icl>soft_drink>thing,equ>pop)
сорока,трещотка	"A VAIN AND TALKATIVE PERSON (CHATTERS LIKE A PARROT)"	popinjay(icl>egotist>thing)
вульгаризатор,популяризатор	"SOMEONE WHO MAKES ATTRACTIVE TO THE GENERAL PUBLIC"	popularizer(icl>communicator>thing)+vulgarizer(icl>communicator>thing,equ>popularizer)
в народе,популярно	"AMONG THE PEOPLE"	popularly(icl>how)
множество,совокупность	"(STATISTICS) THE ENTIRE AGGREGATION OF ITEMS FROM WHICH SAMPLES CAN BE DRAWN"	population(icl>collection>thing)+universe(icl>collection>thing,equ>population)
заселение,население	"THE ACT OF POPULATING (CAUSING TO LIVE IN A PLACE)"	population(icl>colonization>thing)
переносимость,переносность,портативность	"THE QUALITY OF BEING LIGHT ENOUGH TO BE CARRIED"	portability(icl>movability>thing)
переносной,портативный	"EASILY OR CONVENIENTLY TRANSPORTED"	portable(icl>adj,ant>unportable)
доля,часть	"SOMETHING LESS THAN THE WHOLE OF A HUMAN ARTIFACT"	portion(icl>object>thing,equ>part)
Портланд,Портленд	"LARGEST CITY IN MAINE IN THE SOUTHWESTERN CORNER OF THE STATE"	portland(iof>city>thing)
дородный,тучный	"EUPHEMISMS FOR `FAT'"	portly(icl>adj)+stout(icl>adj,equ>portly)
описание,портрет,словесный портрет	"A WORD PICTURE OF A PERSON'S APPEARANCE AND CHARACTER"	portrait(icl>word_picture>thing,equ>portrayal)+portraiture(icl>word_picture>thing,equ>portrayal)+portrayal(icl>word_picture>thing)
представлять,ставить	"CONSTITUTE OR INTRODUCE","INTRODUCE OR CAUSE"	pose(icl>be,equ>present,obj>uw,aoj>thing)+present(icl>cause>be,obj>thing,aoj>thing)
помещать,ставить	"MOVE INTO A CERTAIN PLACE","PUT INTO A CERTAIN PLACE"	pose(icl>put>do,plt>thing,agt>person,obj>thing)+put(icl>displace>do,plt>thing,agt>thing,obj>thing)+set(icl>displace>do,agt>thing,obj>thing,plc>uw)
постулировать,утверждать	"TAKE AS A GIVEN"	posit(icl>presuppose>do,equ>postulate,agt>thing,obj>thing)+postulate(icl>presuppose>do,agt>thing,obj>thing)
позиция,роль	"(IN TEAM SPORTS) THE ROLE ASSIGNED TO AN INDIVIDUAL PLAYER"	position(icl>role>thing)
позитивный,положительный	"INVOLVING ADVANTAGE OR GOOD"	positive(icl>adj,equ>plus)
убежденность,уверенность	"A QUALITY OR STATE CHARACTERIZED BY CERTAINTY OR ACCEPTANCE OR AFFIRMATION AND DOGMATIC ASSERTIVENESS"	positiveness(icl>quality>thing,equ>positivity,ant>negativeness)+positivism(icl>quality>thing,equ>positivity,ant>negativity)+positivity(icl>quality>thing,ant>negativity)
позитивист,рационалист	"SOMEONE WHO EMPHASIZES OBSERVABLE FACTS AND EXCLUDES METAPHYSICAL SPECULATION ABOUT ORIGINS OR ULTIMATE CAUSES"	positivist(icl>nonreligious_person>thing)+rationalist(icl>nonreligious_person>thing,equ>positivist)
дружинники,отряд добровольцев	"A TEMPORARY POLICE FORCE"	posse(icl>police>thing)
самоконтроль,самообладание,саморегулирование,хладнокровие	"THE TRAIT OF RESOLUTELY CONTROLLING YOUR OWN BEHAVIOR"	possession(icl>resoluteness>thing,equ>self-control)+self-command(icl>resoluteness>thing,equ>self-control)+self-control(icl>resoluteness>thing)+self-possession(icl>resoluteness>thing,equ>self-control)+self-will(icl>resoluteness>thing,equ>self-control)
притяжательность,собственничество	"EXCESSIVE DESIRE TO POSSESS OR DOMINATE"	possessiveness(icl>greed>thing)
возможный,потенциальный	"EXISTING IN POSSIBILITY"	possible(icl>adj,equ>potential,ant>actual)+potential(icl>adj,ant>actual)
возможно,можно	"MODAL: THE SPEAKER REGARDS THE SITUATION AS POSSIBLE DUE TO LOGICAL REASONS"	possible(icl>modal>be,obj>uw,aoj>thing)
позиция,форт	"MILITARY INSTALLATION AT WHICH A BODY OF TROOPS IS STATIONED"	post(icl>military_installation>thing,equ>military_post)
назначать,размещать,расставлять	"ASSIGN TO A STATION"	post(icl>move>do,equ>station,agt>thing,obj>thing)+station(icl>move>do,agt>volitional_thing,obj>concrete_thing,plc>thing)
веха,кол	"A POLE OR STAKE SET UP TO MARK SOMETHING (AS THE START OR END OF A RACE TRACK)"	post(icl>visual_signal>thing)+stake(icl>visual_signal>thing,equ>post)
марка,почтовая марка	"A TOKEN THAT POSTAL FEES HAVE BEEN PAID"	postage(icl>token>thing)+stamp(icl>token>thing,equ>postage)
постулирование,утверждение	"(LOGIC) A DECLARATION OF SOMETHING SELF-EVIDENT"	postulation(icl>declaration>thing)+predication(icl>declaration>thing,equ>postulation)
почтальонка,почтальонша	"A WOMAN WHO DELIVERS THE MAIL"	postwoman(icl>deliveryman>thing,equ>mailman)
горшок,котелок	"METAL OR EARTHENWARE COOKING VESSEL THAT IS USUALLY ROUND AND DEEP"	pot(icl>cooking_utensil>thing)
проходной текст,халтура	"A LITERARY COMPOSITION OF POOR QUALITY THAT WAS WRITTEN QUICKLY TO MAKE MONEY (TO BOIL THE POT)"	potboiler(icl>literary_composition>thing)
потенциал,потенциальность	"THE INHERENT CAPACITY FOR COMING INTO BEING"	potency(icl>possibility>thing,equ>potential)+potential(icl>possibility>thing)+potentiality(icl>possibility>thing,equ>potential)
вирильный,зрелый,половозрелый	"(OF A MALE) CAPABLE OF COPULATION"	potent(icl>adj,ant>impotent)+virile(icl>adj,equ>potent,ant>impotent)
вольтаж,потенциал	"THE DIFFERENCE IN ELECTRICAL CHARGE BETWEEN TWO POINTS IN A CIRCUIT EXPRESSED IN VOLTS"	potential(icl>electrical_phenomenon>thing,equ>electric_potential)+voltage(icl>electrical_phenomenon>thing,equ>electric_potential)
потенцирование,усиление	"(MEDICINE) THE SYNERGISTIC EFFECT OF TWO DRUGS GIVEN SIMULTANEOUSLY"	potentiation(icl>synergy>thing)
гончарное дело,гончарство	"THE CRAFT OF MAKING EARTHENWARE"	pottery(icl>trade>thing)
надравшийся,налакавшийся,под градусом,под мухой,пьяный	"VERY DRUNK"	potty(icl>adj,equ>besotted)+soused(icl>adj,equ>besotted)+sozzled(icl>adj,equ>besotted)+squiffy(icl>adj,equ>besotted)+stiff(icl>adj,equ>besotted)+tight(icl>adj,equ>besotted)+tipsy(icl>adj,equ>besotted)+wet(icl>adj,equ>besotted)
высыпать,перетекать	"BE DISGORGED"	pour_out(icl>pour>do,equ>spill_over,agt>thing)+spill_out(icl>scatter>occur,plt>thing,plf>thing,obj>concrete_thing)+spill_over(icl>spread>do,plt>thing,plf>thing,agt>thing)
присыпка,пудра	"ANY OF VARIOUS COSMETIC OR MEDICAL PREPARATIONS DISPENSED IN THE FORM OF A PULVERIZED POWDER"	powder(icl>toiletry>thing)
могучий,сильный	"HAVING GREAT POWER OR FORCE OR POTENCY OR EFFECT"	powerful(icl>adj,ant>powerless)
крепко,сильно	"IN A POWERFUL MANNER"	powerfully(icl>how,com>powerful)+strongly(icl>how,equ>powerfully,com>strong)
сильная группа,сильная команда	"A TEAM CONSIDERED TO BE THE BEST OF ITS CLASS"	powerhouse(icl>team>thing)
празеодим,празеодимий	"A SOFT YELLOWISH-WHITE TRIVALENT METALLIC ELEMENT OF THE RARE EARTH GROUP"	pr(icl>metallic_element>thing,equ>praseodymium)+praseodymium(icl>metallic_element>thing)
почти,практически	"ALMOST"	practically(icl>how)
почти,практически	"(DEGREE ADVERB USED BEFORE A NOUN PHRASE) FOR ALL PRACTICAL PURPOSES BUT NOT COMPLETELY"	practically(icl>how,equ>much)
практиковаться,репетировать	"ENGAGE IN A REHEARSAL","ENGAGE IN A REHEARSAL (OF)"	practise(icl>exercise>do,agt>person,obj>uw)+rehearse(icl>perform>do,agt>volitional_thing,obj>process)
прагматическая санкция,указ	"AN IMPERIAL DECREE THAT BECOMES PART OF THE FUNDAMENTAL LAW OF THE LAND"	pragmatic(icl>imperial_decree>thing,equ>pragmatic_sanction)
прагматизм,реализм	"THE ATTRIBUTE OF ACCEPTING THE FACTS OF LIFE AND FAVORING PRACTICALITY AND LITERAL TRUTH"	pragmatism(icl>practicality>thing,equ>realism)+realism(icl>practicality>thing)
восхваление,хвала	"OFFERING WORDS OF HOMAGE AS AN ACT OF WORSHIP"	praise(icl>worship>thing)
болтовня,пересуды	"IDLE OR FOOLISH AND IRRELEVANT TALK"	prate(icl>yak>thing)+prattle(icl>yak>thing,equ>prate)
